Postalcode,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce
M5S,55600.0,17074.0,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,20.0,9500.0,55.0
M4P,54950.0,25057.0,Central Toronto,Davisville North,43.7127511,-79.3901975,11.0,13115.0,220.0
M9B,54500.0,33236.0,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,,12120.0,190.0
M6P,53550.0,39870.0,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,5.0,18145.0,195.0
M1N,53000.0,22976.0,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,,6805.0,185.0
M4J,52950.0,35128.0,East York East Toronto,The Danforth East,43.685347,-79.3381065,6.0,12370.0,210.0
M5A,51550.0,48978.0,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,7.0,21690.0,355.0
M8V,51550.0,44144.0,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,1.0,17070.0,360.0
M3H,49080.0,38416.0,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1.0,13965.0,255.0
M8W,49000.0,22381.0,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,,6660.0,140.0
M6B,48880.0,28534.0,North York,Glencairn,43.709577,-79.4450726,,8685.0,95.0
M9P,48680.0,20645.0,Etobicoke,Westmount,43.696319,-79.5322424,,5210.0,110.0
M5G,48360.0,9751.0,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,18.0,6220.0,25.0
M1C,47960.0,35642.0,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,1.0,11150.0,210.0
M9C,47720.0,38725.0,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,,11905.0,285.0
M2N,47560.0,75100.0,North York,Willowdale) Sout,43.7701199,-79.4084928,1.0,39350.0,280.0
M6K,47520.0,42110.0,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,3.0,17215.0,260.0
