Postalcode,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-85,85_plus,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce,target_women_population,market_cap
M8W,485.0,415.0,520.0,725.0,1015.0,950.0,870.0,730.0,780.0,855.0,785.0,640.0,505.0,335.0,230.0,335.0,49000.0,22381.0,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,,6660.0,140.0,9275.0,454475000.0
M8X,285.0,285.0,250.0,215.0,260.0,250.0,310.0,365.0,430.0,450.0,425.0,435.0,435.0,325.0,235.0,335.0,93900.0,10624.0,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,2.0,5475.0,80.0,4720.0,443208000.0
M8Y,500.0,410.0,515.0,820.0,975.0,1010.0,875.0,815.0,795.0,800.0,785.0,590.0,420.0,275.0,230.0,280.0,56300.0,21986.0,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,2.0,8435.0,185.0,9185.0,517115500.0
M8Z,420.0,395.0,445.0,610.0,710.0,780.0,780.0,700.0,635.0,645.0,570.0,450.0,395.0,285.0,245.0,335.0,57800.0,19312.0,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,1.0,6870.0,140.0,7585.0,438413000.0
M9A,845.0,875.0,1075.0,1400.0,1430.0,1300.0,1185.0,1210.0,1330.0,1410.0,1295.0,1205.0,1050.0,695.0,605.0,895.0,61050.0,36642.0,Etobicoke,Islington Avenue,43.6678556,-79.5322424,,14425.0,235.0,16085.0,981989250.0
M9B,845.0,805.0,940.0,1080.0,1200.0,1230.0,1180.0,1125.0,1205.0,1280.0,1215.0,930.0,745.0,560.0,455.0,550.0,54500.0,33236.0,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,,12120.0,190.0,13695.0,746377500.0
M9C,930.0,940.0,1040.0,1235.0,1270.0,1380.0,1155.0,1180.0,1535.0,1575.0,1520.0,1285.0,1080.0,800.0,755.0,1100.0,47720.0,38725.0,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,,11905.0,285.0,16910.0,806945200.0
M9P,525.0,525.0,605.0,555.0,645.0,700.0,680.0,640.0,795.0,825.0,760.0,640.0,555.0,425.0,410.0,790.0,48680.0,20645.0,Etobicoke,Westmount,43.696319,-79.5322424,,5210.0,110.0,9025.0,439337000.0
M9R,905.0,980.0,1055.0,1090.0,1105.0,1145.0,1130.0,1085.0,1130.0,1235.0,1075.0,955.0,880.0,620.0,530.0,720.0,40400.0,33783.0,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,,7610.0,155.0,13755.0,555702000.0
M9V,1605.0,1775.0,2185.0,2260.0,1750.0,1780.0,1755.0,1840.0,1885.0,1890.0,1545.0,1275.0,1150.0,765.0,600.0,575.0,33040.0,53878.0,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,,9715.0,110.0,21255.0,702265200.0
M9W,995.0,1105.0,1440.0,1805.0,1520.0,1420.0,1295.0,1225.0,1455.0,1475.0,1385.0,1130.0,875.0,635.0,450.0,575.0,36920.0,40977.0,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544,,8315.0,155.0,16685.0,616010200.0
M2H,565.0,515.0,720.0,775.0,660.0,645.0,660.0,815.0,935.0,880.0,850.0,850.0,875.0,645.0,560.0,575.0,41040.0,23396.0,North York,Hillcrest Village,43.8037622,-79.3634517,1.0,9520.0,105.0,10445.0,428662800.0
M2J,1415.0,1360.0,2090.0,3045.0,2915.0,2405.0,2145.0,2055.0,2115.0,1995.0,1835.0,1655.0,1470.0,1100.0,900.0,900.0,40480.0,61761.0,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,,24985.0,205.0,26625.0,1077780000.0
M2K,430.0,440.0,785.0,1310.0,1415.0,1115.0,870.0,810.0,865.0,815.0,845.0,750.0,695.0,520.0,450.0,625.0,47200.0,25377.0,North York,Bayview Village,43.7869473,-79.385975,2.0,13120.0,120.0,11870.0,560264000.0
M2L,335.0,365.0,365.0,315.0,300.0,265.0,330.0,440.0,490.0,460.0,415.0,370.0,350.0,245.0,180.0,185.0,81400.0,11274.0,North York,"York Mills, Silver Hills",43.7574902,-79.3747141,1.0,5250.0,55.0,4710.0,383394000.0
M2M,500.0,700.0,1065.0,1390.0,1285.0,1045.0,1045.0,1085.0,1180.0,1215.0,1210.0,1000.0,915.0,710.0,570.0,875.0,41080.0,31915.0,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928,1.0,13715.0,110.0,14590.0,599357200.0
M2N,1330.0,1460.0,2560.0,4270.0,4350.0,3265.0,2735.0,2530.0,2570.0,2445.0,2225.0,2000.0,1755.0,1225.0,1050.0,1140.0,47560.0,75100.0,North York,Willowdale) Sout,43.7701199,-79.4084928,1.0,39350.0,280.0,34120.0,1622747200.0
M2P,245.0,240.0,220.0,170.0,190.0,210.0,250.0,270.0,350.0,335.0,310.0,280.0,235.0,115.0,110.0,120.0,72700.0,7546.0,North York,York Mills West,43.7527583,-79.4000493,2.0,3810.0,20.0,3165.0,230095500.0
